Id,Title,Name,Price,Image
314382636,ZEPSTORE,2023 Red Bull Racing,160 TL,https://cdn.dsmcdn.com/ty912/product/media/images/20230529/11/367024081/501727825/1/1_org.jpg
808330550,FAVORİST,V YAKA (DÜZ,"124,49 TL",https://cdn.dsmcdn.com/ty1180/product/media/images/prod/SPM/PIM/20240221/17/ca12e8e8-f85b-3cb0-8ea4-45a04bbcf253/1_org.jpg
832099132,TRENDKOLİK,Trend Selection -,229 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240525/15/4d64abcc-5b30-37c0-984e-47d1a693ccd5/1_org.jpg
695955544,Pasage,Kırmızı Vaxma Oversize,124 TL,https://cdn.dsmcdn.com/ty1015/product/media/images/prod/SPM/PIM/20231013/23/052903b9-a6b9-3121-ab63-9b7add31b8dd/1_org.jpg
797648981,uyguntarz,Unisex Holiday,"124,90 TL",https://cdn.dsmcdn.com/ty1138/product/media/images/prod/SPM/PIM/20240117/16/254f7823-2bcf-3373-a4d7-aeb764585664/1_org.jpg
830470456,Teenage Millionaire,Kadın,"199,90 TL",https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/09/33f063c1-da6f-364a-bbfc-a456965ef2f8/1_org.jpg
803176712,mercoledi,V Yaka El/Kalp,"123,32 TL",https://cdn.dsmcdn.com/ty1159/product/media/images/prod/SPM/PIM/20240204/21/005c3bc2-9645-3f1b-9985-f07e38978203/1_org.jpg
283632294,Beybun boutique,Unisex Pamuk,"62,19 TL",https://cdn.dsmcdn.com/ty1008/product/media/images/prod/SPM/PIM/20231007/21/060c5540-16eb-3823-9def-93ac9d6df311/1_org.jpg
83713116,Under Armour,Live Sportstyle,520 TL,https://cdn.dsmcdn.com/ty70/product/media/images/20210216/15/63343635/140928535/1/1_org.jpg
815249922,Garalio,Love Yourself garalio,40 TL,https://cdn.dsmcdn.com/ty1210/product/media/images/prod/SPM/PIM/20240317/00/c2002d73-ecd7-359e-8522-ba2556fbc917/1_org.jpg
36981372,Mavi,Make The Planet Great,"269,99 TL",https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/15/b643b772-656f-3951-9ca4-60d49babf2d7/1_org.jpg
